tag-id,animal-id,animal-taxon,deploy-on-date,deploy-off-date,animal-death-comments,animal-exact-date-of-birth,animal-latest-date-born,animal-mass,animal-reproductive-condition,animal-ring-id,animal-sex,deploy-on-latitude,deploy-on-longitude,deployment-comments,study-site,tag-beacon-frequency,tag-comments,tag-failure-comments,tag-manufacturer-name,tag-model
47785,4a,Odocoileus virginianus,2021-08-24 07:00:00.000,2021-08-30 07:00:00.000,,2017-06-01 00:00:00.000,,120.0,No,yellow,f,40.580032,-74.181041,,staten_island,150.3195,,,Vectronic Aerospace,Vertex Plus 1 w/3 axis sensor
47807,148,Odocoileus virginianus,2021-08-24 07:00:00.000,2022-05-30 07:00:00.000,,2015-06-01 00:00:00.000,,135.0,No,white,m,40.579298,-74.17204,,staten_island,150.3495,,,Vectronic Aerospace,Vertex Plus 1 w/3 axis sensor
47515,1074,Odocoileus virginianus,2021-08-24 07:00:00.000,2022-05-30 07:00:00.000,,2013-06-01 00:00:00.000,,170.0,No,white,m,40.580151,-74.172009,,staten_island,150.3595,,,Vectronic Aerospace,Vertex Plus 1 w/3 axis sensor
47463,3,Odocoileus virginianus,2021-08-24 07:00:00.000,2022-05-30 07:00:00.000,,2018-06-01 00:00:00.000,,100.0,Yes,yellow,f,40.560461,-74.205006,,staten_island,150.0895,,,Vectronic Aerospace,Vertex Plus 1 w/3 axis sensor
47780,2,Odocoileus virginianus,2021-08-24 07:00:00.000,2022-05-30 07:00:00.000,,2019-06-01 00:00:00.000,,100.0,No,yellow,f,40.560452,-74.205412,,staten_island,150.5095,,,Vectronic Aerospace,Vertex Plus 1 w/3 axis sensor
47804,629,Odocoileus virginianus,2021-08-25 07:00:00.000,2022-05-11 07:00:00.000,,2013-06-01 00:00:00.000,,170.0,No,white,m,40.568398,-74.19038,,staten_island,150.4895,,,Vectronic Aerospace,Vertex Plus 1 w/3 axis sensor
47784,7,Odocoileus virginianus,2021-08-25 07:00:00.000,2021-10-17 07:00:00.000,,2016-06-01 00:00:00.000,,120.0,No,yellow,f,40.564401,-74.197843,,staten_island,150.3299,,,Vectronic Aerospace,Vertex Plus 1 w/3 axis sensor
47473,5a,Odocoileus virginianus,2021-08-27 07:00:00.000,2021-09-21 07:00:00.000,,2017-06-01 00:00:00.000,,110.0,No,yellow,f,40.574295,-74.150755,,staten_island,150.1895,,,Vectronic Aerospace,Vertex Plus 1 w/3 axis sensor
47805,8,Odocoileus virginianus,2021-08-27 07:00:00.000,2021-09-27 07:00:00.000,,2018-06-01 00:00:00.000,,120.0,No,yellow,f,40.580053,-74.135961,,staten_island,150.5699,,,Vectronic Aerospace,Vertex Plus 1 w/3 axis sensor
47471,9,Odocoileus virginianus,2021-08-27 07:00:00.000,2021-10-10 07:00:00.000,,2016-06-01 00:00:00.000,,135.0,No,yellow,f,40.597702,-74.11829,,staten_island,150.1699,,,Vectronic Aerospace,Vertex Plus 1 w/3 axis sensor
