"","X","event.id","visible","timestamp","gps.activity.count","argos.altitude","battery.charging.current","cpu.temperature","external.temperature","gps.dop","gps.fix.type.raw","gps.satellite.count","gps.twilight","height.above.ellipsoid","lat.upper","long.upper","mortality.status","transmission.protocol","sensor.type","individual.taxon.canonical.name","tag.local.identifier","individual.local.identifier","study.name","Date","Time","Year","Month","Day","location-long","location-lat"
"1",5184,23487737260,TRUE,"2021-08-02 19:01:26",NA,NA,NA,40,NA,3.4,"3D valid GPS Fix",4,"BRIGHT",91,NA,NA,"normal / nothing detected","Collar","gps",NA,47781,NA,"Odocoileus virginianus DeNicola Staten Island, NY and Rockefeller Park, NY","2021-08-02","19:01:26",2021,8,2,-72.4644407272419,41.5062189844302
"2",5185,23487737261,TRUE,"2021-08-02 20:00:24",NA,NA,NA,38,NA,2.8,"3D valid GPS Fix",4,"BRIGHT",118,NA,NA,"normal / nothing detected","Collar","gps",NA,47781,NA,"Odocoileus virginianus DeNicola Staten Island, NY and Rockefeller Park, NY","2021-08-02","20:00:24",2021,8,2,-72.464533366745,41.50607378196
"3",5186,23487737262,TRUE,"2021-08-02 21:00:40",NA,NA,NA,37,NA,5,"3D valid GPS Fix",4,"BRIGHT",117,NA,NA,"normal / nothing detected","Collar","gps",NA,47781,NA,"Odocoileus virginianus DeNicola Staten Island, NY and Rockefeller Park, NY","2021-08-02","21:00:40",2021,8,2,-72.4646643895993,41.5062253787644
"4",5187,23487737432,TRUE,"2021-08-02 22:02:04",NA,NA,NA,31,NA,3.4,"3D valid GPS Fix",5,"BRIGHT",92,NA,NA,"normal / nothing detected","Iridium TCP","gps",NA,47781,NA,"Odocoileus virginianus DeNicola Staten Island, NY and Rockefeller Park, NY","2021-08-02","22:02:04",2021,8,2,-72.4644635691973,41.5062360654431
"5",5188,23487737263,TRUE,"2021-08-02 23:00:38",NA,NA,NA,26,NA,6.4,"3D valid GPS Fix",3,"BRIGHT",154,NA,NA,"normal / nothing detected","Collar","gps",NA,47781,NA,"Odocoileus virginianus DeNicola Staten Island, NY and Rockefeller Park, NY","2021-08-02","23:00:38",2021,8,2,-72.4648159560486,41.5060538484888
"6",5189,23487737264,TRUE,"2021-08-03 00:00:22",NA,NA,NA,24,NA,3,"3D valid GPS Fix",3,"BRIGHT",85,NA,NA,"normal / nothing detected","Collar","gps",NA,47781,NA,"Odocoileus virginianus DeNicola Staten Island, NY and Rockefeller Park, NY","2021-08-03","00:00:22",2021,8,3,-72.4644118566814,41.5062645004449
"7",5190,23487737265,TRUE,"2021-08-03 01:00:38",NA,NA,NA,22,NA,2.2,"3D valid GPS Fix",4,"TWILIGHT",99,NA,NA,"normal / nothing detected","Collar","gps",NA,47781,NA,"Odocoileus virginianus DeNicola Staten Island, NY and Rockefeller Park, NY","2021-08-03","01:00:38",2021,8,3,-72.4645970532273,41.5061039847829
"8",5191,23487737433,TRUE,"2021-08-03 02:00:32",NA,NA,NA,20,NA,3,"3D valid GPS Fix",3,"DARK",80,NA,NA,"normal / nothing detected","Iridium TCP","gps",NA,47781,NA,"Odocoileus virginianus DeNicola Staten Island, NY and Rockefeller Park, NY","2021-08-03","02:00:32",2021,8,3,-72.4642483964862,41.5058968802818
"9",5192,23487737434,TRUE,"2021-08-03 02:24:29",NA,NA,NA,20,NA,2.6,"3D valid GPS Fix",4,"DARK",81,NA,NA,"Mortality no radius","Iridium TCP","gps",NA,47781,NA,"Odocoileus virginianus DeNicola Staten Island, NY and Rockefeller Park, NY","2021-08-03","02:24:29",2021,8,3,-72.4645621546609,41.5061311846952
"10",5193,23487737435,TRUE,"2021-08-03 02:54:34",NA,NA,NA,19,NA,2.2,"3D valid GPS Fix",4,"DARK",126,NA,NA,"Mortality no radius","Iridium TCP","gps",NA,47781,NA,"Odocoileus virginianus DeNicola Staten Island, NY and Rockefeller Park, NY","2021-08-03","02:54:34",2021,8,3,-72.4648736153589,41.5061061912296
